name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Centre for Chinese Contemporary Art	n/a	NPO	North	North West	Visual arts	Yes	3e5	293762.7	287480.26188	881242.96188	287481	287481	287481	862443	GIA	2.5675501864633399E-6	-2.1333460456686149E-2	-1.3804174013622782E-2	-6.8466612050895936E-2		Manchester	www.cfcca.org.uk
Charnwood Arts	Charnwood Arts	NPO	Midlands	East Midlands	Combined arts	Yes	131e3	131226.735717	131758.9118923812	393985.6476093812	131759	131759	131759	395277	GIA	6.6870329702081842E-7	3.2776635353456767E-3	-1.3806046643691384E-2	-4.4718927834804419E-2		Charnwood	www.charnwoodarts.com
Cheek By Jowl Theatre Company Ltd	n/a	NPO	London	London	Theatre	Yes	244261.2	244683.76571100001	245676.7987324896	734621.7644434896	245677	245677	245677	737031	LOT	8.1923694638239748E-7	3.279559186945002E-3	-1.3805898188415888E-2	-4.4717108358567008E-2		City of London	www.cheekbyjowl.com
Cheltenham Festivals	n/a	NPO	South West	South West	Combined arts	Yes	212320	212687.132427	213550.87946739962	638558.0118943995	213551	213551	213551	640653	GIA	5.6442099739579985E-7	3.2808109311561221E-3	-1.380614948619577E-2	-4.4715904325724552E-2		Cheltenham	www.cheltenhamfestivals.com
Cheshire Dance	n/a	NPO	North	North West	Dance	Yes	87699	87850.71464399999	88207.56875264039	263757.2833966404	88208	88208	88208	264624	GIA	4.8890063030385906E-6	3.2860385586252774E-3	-1.3801884609168634E-2	-4.4710915268184374E-2		Cheshire West and Chester	www.cheshiredance.org
Cheshire/Lancashire Rural Touring Network	n/a	NPO	North	North West	Combined arts	Yes	86893.8	87044.825637	87397.8326816784	261336.45831867843	87398	87398	87398	262194	GIA	1.9144447461735945E-6	3.2813702567127804E-3	-1.3804818101828202E-2	-4.4715349665589703E-2		Cheshire West and Chester	www.cheshireruraltouringarts.co.uk
Chester Performs	Chester Performing Arts Centre	NPO	North	North West	Combined arts	Yes	15e4	220381	223895	451129.262484624	223895	223895	223895	671685	GIA	0	0.4888969877516941	-1.3806706114398447E-2	7.8959913635169521E-2		Cheshire West and Chester	www.chesterperforms.com
Chichester Festival Theatre	CFT	NPO	South East	South East	Theatre	Yes	1604079	1606855.530357	1740213.8519136	4951148.3822706	1740214	1740214	1740214	5220642	GIA	8.5096667769459943E-8	5.4430527409443208E-2	-1.3806622192635449E-2	4.5206632401718619E-3		Chichester	http://www.cft.org.uk
Children's Discovery Centre, East London	Discover Children's Story Centre	NPO	London	London	Literature	Yes	75e3	73440.675	71870.06547	220310.74047	71870	71870	71870	215610	GIA	-9.1094949716857471E-7	-2.1336864739193665E-2	-1.3807604486683583E-2	-6.8469852381171606E-2		Newham	www.discover.org.uk
Chisenhale Gallery	n/a	NPO	London	London	Visual arts	Yes	164424	164708.829054	165377.811984168	494510.641038168	165378	165378	165378	496134	GIA	1.1368866824211658E-6	3.2827584021730177E-3	-1.3805584924376392E-2	-4.4714025825528594E-2		Tower Hamlets	www.chisenhale.org.uk
