name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Mandinga Arts	n/a	NPO	London	London	Combined arts	Yes	55e3	55095.194384999995	55318.868526028804	165414.0629110288	55319	55319	55319	165957	GIA	2.3766569110906437E-6	3.2822909939841708E-3	-1.3804362271290775E-2	-4.4714492832098746E-2		Lambeth	www.mandingaarts.co.uk
Masquerade 2000	M2K	NPO	London	London	Combined arts	Yes	68e3	68117.694876	68394.42910387079	204512.12397987078	68e3	68e3	68e3	204e3	GIA	-5.7669770628799074E-3	-2.5041252807153332E-3	-1.9494060219802642E-2	-5.0224069877559334E-2		Waltham Forest	http://m2kmas.com
Matt's Gallery	n/a	NPO	London	London	Visual arts	Yes	152501	152765.416881	153385.09372607403	458651.5106070741	153385	153385	153385	460155	GIA	-6.1105073351783769E-7	3.2780648447792069E-3	-1.3807308728534052E-2	-4.4718518681069346E-2		Tower Hamlets	www.mattsgallery.org
MAYK Theatre Ltd	n/a	NPO	South West	South West	Theatre	No	0	0	0	0	9e4	9e4	9e4	27e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Bristol, City of	www.mayk.org.uk
Meadow Arts	Meadow Gallery	NPO	Midlands	West Midlands	Visual arts	Yes	16e4	160276.92912000002	160927.6175302656	481204.5466502656	160928	160928	160928	482784	GIA	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290794E-2	-4.471449283209885E-2		Shropshire	www.meadowarts.org
Mercury Musical Developments	n/a	NPO	London	London	Theatre	Yes	123750	123963.942564	124467.45418356481	372181.3967475648	124467	124467	124467	373401	GIA	-3.6490146584229152E-6	3.2769054635539072E-3	-1.3810304748183976E-2	-4.4719620833696981E-2		Camden	www.mercurymusicals.com
Merseyside Dance Initiative	n/a	NPO	North	North West	Dance	Yes	122699	122911.29288899999	123410.485087386	369020.77797638596	88e3	88e3	88e3	264e3	GIA	-0.28693254922636524	-0.28459312928744179	-0.29677766195894012	-0.3188180174204992		Liverpool	www.mdi.co.uk
Metal Culture Ltd	Metal	NPO	South East	East	Combined arts	Yes	54e4	528772.86	565377.848364	1634150.7083639998	565378	565378	565378	1696134	GIA	2.6820293802266003E-7	3.7929972626608958E-2	-1.3806441614459682E-2	-1.1446488327803416E-2		Southend-on-Sea	www.metalculture.com
Midlands Arts Centre	mac birmingham	NPO	Midlands	West Midlands	Combined arts	Yes	734887	736158.554901	739146.2509249055	2210191.805825906	739146	739146	739146	2217438	GIA	-3.3947937260759883E-7	3.2785363491954324E-3	-1.3807040906678985E-2	-4.4718079874176482E-2		Birmingham	http://www.macarts.co.uk/
Milap Festival Trust	Milapfest / Samyo (National Youth Orchestra for Indian Music)	NPO	North	North West	Combined arts	Yes	29e4	408642	419994	828636	419994	419994	419994	1259982	GIA/LOT	0	0.52054943304418344	-1.3806706114398371E-2	7.5049779298328442E-2	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	Liverpool	www.milapfest.com
Milton Keynes Theatre & Gallery Company	n/a	NPO	South East	South East	Visual arts	Yes	4e5	391683.6	383307.01584	1174990.61584	383307	383307	383307	1149921	GIA	-4.1324576260596024E-8	-2.1336013668566915E-2	-1.3806746868418486E-2	-6.846904229860272E-2		Milton Keynes	www.mkgallery.org
mima	n/a	NPO	North	North East	Visual arts	Yes	5e5	505271.844	510756.5986068	1516028.4426068	510757	510757	510757	1532271	GIA	7.8587961677769952E-7	1.0713886980425668E-2	-1.3805931085190586E-2	-3.7534427037538114E-2		Middlesbrough	www.visitmima.com
Mimbre	n/a	NPO	London	London	Theatre	Yes	125048	125264.33211599999	125772.6145725	376084.9466885	125773	125773	125773	377319	GIA	3.0644787127543209E-6	3.2813153580489611E-3	-1.3803683946042786E-2	-4.4715441069277849E-2		Hackney	www.mimbre.co.uk
Mind The Gap	n/a	NPO	North	Yorkshire	Combined arts	Yes	205e3	205555.55328	206389.7461439688	616945.2994239688	206390	206390	206390	619170	LOT	1.229983736778999E-6	3.6059932349081776E-3	-1.3805493112685686E-2	-4.4399753919964861E-2		Bradford	www.mind-the-gap.org.uk
Miracle Theatre Trust Ltd	n/a	NPO	South West	South West	Theatre	Yes	94605	94768.826229	95153.0918796612	284526.9181086612	95e3	95e3	95e3	285e3	LOT	-1.6089007370859601E-3	1.6626964312674839E-3	-1.539339323184017E-2	-4.6256633517226232E-2		Cornwall	www.miracletheatre.co.uk
Modern Art Oxford	Museum of Modern Art	NPO	South East	South East	Visual arts	Yes	901209	882471.963681	892347.3572833764	2676028.3209643764	892347	892347	892347	2677041	GIA	-4.003859858764108E-7	3.7842612788889046E-4	-1.3807100972372748E-2	-4.7584749744022804E-2		Oxford	http://www.modernartoxford.org.uk
Modern Masterpieces	n/a	NPO	London	London	Dance	Yes	199e3	199344.430593	200153.34099625202	598497.771589252	200153	200153	200153	600459	LOT	-1.7036750439754102E-6	3.2769184846588493E-3	-1.3808386267301707E-2	-4.4719621013961215E-2		City of London	www.michaelclarkcompany.com
Modern Poetry In Translation	MPT	NPO	South East	South East	Literature	Yes	4e4	39168.36	38330.701584	117499.06158400001	4e4	4e4	4e4	12e4	GIA	4.3549905089574362E-2	2.1284752254911166E-2	2.9141918234294097E-2	-2.7900917331124094E-2	Standstill - adjusted to meet NPO minimum grant of £40k.	Oxford	www.mptmagazine.com
More Music	More Music in Morecambe	NPO	North	North West	Music	Yes	105e3	105181.734735	105608.7490042368	315790.48373923684	105609	105609	105609	316827	GIA	2.3766569111532762E-6	3.2822909939840528E-3	-1.3804362271290803E-2	-4.4714492832098725E-2		Lancaster	www.moremusic.org.uk
Motionhouse	Motionhouse Dance Theatre	NPO	Midlands	West Midlands	Dance	Yes	257315	300925.61383499997	258806.0222925492	817046.6361275492	338806	338806	338806	1016418	LOT	0.30911173163126943	0.24401466826592122	0.29103721068172544	0.18451260051191598		Warwick	www.motionhouse.co.uk
Multistory	n/a	NPO	Midlands	West Midlands	Combined arts	Yes	14e4	140242.31298	140811.6653389824	421053.9783189824	140812	140812	140812	422436	GIA	2.3766569112221718E-6	3.2822909939841456E-3	-1.3804362271290876E-2	-4.4714492832098822E-2		Sandwell	www.multistory.org.uk
Museum of London	n/a	MPM	London	London	n/a (MPM)	Yes	1467583	1214565.799986	1183428.7885771932	3865577.5885631936	11e5	11e5	11e5	33e5	GIA	-7.0497514833568906E-2	-0.14631127576808375	-8.3330882478864887E-2	-0.18843590259161899		City of London	www.museumoflondon.org.uk
Museums Sheffield	n/a	MPM	North	Yorkshire	n/a (MPM)	No	0	0	0	0	6e5	6e5	6e5	18e5	GIA	NEW	NEW	NEW	NEW	New organisation to the MPM portfolio	Sheffield	www.museums-sheffield.org.uk
Music for Youth	MFY	NPO	London	London	Music	Yes	0	171840	171840	343680	171840	171840	171840	515520	LOT	0	0.5	-1.380670611439848E-2	0.4433421210393263	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	Westminster	mfy.org.uk
Music In The Round	n/a	NPO	North	Yorkshire	Music	Yes	142e3	142384.82227200002	142962.97596538442	427347.7982373844	142963	142963	142963	428889	LOT	1.6811776206159299E-7	3.6064343117534333E-3	-1.3806540317788938E-2	-4.4399318983894979E-2		Sheffield	www.musicintheround.co.uk
Musiko Musika	n/a	NPO	London	London	Music	Yes	5e4	48960.45	47913.37698	146873.82698	72914	72914	72914	218742	GIA	0.52178795559402458	0.48931912851829185	0.50077707652270653	0.41759265027436865		Hackney	www.musikomusika.org
My Word - Writing East Midlands	Writing East Midlands	NPO	Midlands	East Midlands	Literature	Yes	125e3	125216.350875	125724.70119552	375941.05207052	125725	125725	125725	377175	GIA	2.3766569111642995E-6	3.2822909939841565E-3	-1.3804362271290711E-2	-4.471449283209894E-2		Nottingham	www.writingeastmidlands.co.uk
National Centre for Circus Arts	n/a	NPO	London	London	Theatre	Yes	339897	340485.657435	341866.736089998	1022249.3935249979	341867	341867	341867	1025601	GIA	7.7196747784040772E-7	3.2786583158977171E-3	-1.3805944805248806E-2	-4.4717968218643121E-2		Hackney	www.nationalcircus.org.uk
National Centre For Early Music	n/a	NPO	North	Yorkshire	Music	Yes	27e4	270467.31789	316602.9706759836	857070.2885659836	270467	270467	270467	811401	GIA	-0.14572185023241571	-5.3285347975830205E-2	-0.15751661758620891	-9.759221042041262E-2		York	www.ncem.co.uk
National Glass Centre	n/a	NPO	North	North East	Visual arts	Yes	383813	366041.053917	348630.1883844948	1098484.2423014948	348630	348630	348630	1045890	GIA	-5.4035623155698937E-7	-4.7878922861289044E-2	-1.3807239010090164E-2	-9.4070921259323856E-2		Sunderland	www.nationalglasscentre.com
National Opera Studio	n/a	NPO	London	London	Music	Yes	166930	167218.541721	168220.9917741612	502369.5334951612	168221	168221	168221	504663	GIA	4.8899003106019677E-8	4.5652977577727129E-3	-1.3806657890529555E-2	-4.348009890309551E-2		Wandsworth	www.nationaloperastudio.org.uk
National Rural Touring Forum	NRTF	NPO	North	Yorkshire	Combined arts	Yes	86e3	86233.061376	86583.3052730184	258816.3666490184	86583	86583	86583	259749	GIA	-3.5257722887388042E-6	3.6034558519490766E-3	-1.3810183207385168E-2	-4.4402147740144608E-2		York	www.nrtf.org.uk
National Skills Academy	National Skills Academy Creative & Cultural	NPO	South East	East	Not artform specific	Yes	4e5	391683.6	383307.01584	1174990.61584	27e4	27e4	27e4	81e4	GIA	-0.29560381406453728	-0.31063279222793494	-0.30532920519185147	-0.34383311919850867		Thurrock	www.nsa-ccskills.co.uk
National Student Drama Festival	NSDF	NPO	North	Yorkshire	Theatre	Yes	55618	56095.945983	56542.576174098	168256.522157098	56543	56543	56543	169629	GIA	7.495694937802489E-6	8.1570558175483431E-3	-1.3799313910317626E-2	-4.0001272250845994E-2		Southwark	www.nsdf.org.uk
National Youth Brass Band of Great Britain	n/a	NPO	South East	East	Music	Yes	0	118140	118140	236280	118140	118140	118140	354420	LOT	0	0.5	-1.3806706114398416E-2	0.44334212103932685	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	South Cambridgeshire	http://www.nybbgb.com/
National Youth Choirs Of Great Britain	n/a	NPO	North	North East	Music	Yes	0	107400	107400	214800	107e3	107e3	107e3	321e3	LOT	-3.7243947858472998E-3	0.49441340782122906	-1.7479679275983387E-2	0.43796654516953432	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	County Durham	www.nycgb.net
National Youth Orchestra of Great Britain	NYO	NPO	London	London	Music	Yes	0	25e4	25e4	5e5	25e4	25e4	25e4	75e4	LOT	0	0.5	-1.380670611439833E-2	0.44334212103932674	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	Westminster	www.nyo.org.uk
National Youth Theatre of Great Britain	NYT	NPO	London	London	Theatre	Yes	304007	304533.019791	305768.797873266	914308.8176642661	305769	305769	305769	917307	GIA	6.6104434272821267E-7	3.2791790670828173E-3	-1.3806054196900702E-2	-4.4717471434564747E-2		Westminster	www.nyt.org.uk
New Contemporaries (1988) Limited	New Contemporaries	NPO	London	London	Visual arts	Yes	122919	120363.39107099999	117789.28770009239	361071.6787710924	117789	117789	117789	353367	GIA	-2.4424979385511002E-6	-2.1338363610558599E-2	-1.3809114889485791E-2	-6.8471279066017174E-2		Tower Hamlets	www.newcontemporaries.org.uk
New International Encounter	NIE	NPO	South East	East	Theatre	Yes	16e4	156673.44	153322.806336	469996.24633600004	153323	153323	153323	459969	GIA	1.2631128050634078E-6	-2.1334737062626598E-2	-1.3805460441020607E-2	-6.8467827174749571E-2		Cambridge	www.nie-theatre.com
New Perspectives Theatre Company	New Perspectives Theatre Company	NPO	Midlands	East Midlands	Theatre	Yes	301080	301520.97290700005	302744.5055182884	905345.4784252883	302745	302745	302745	908235	GIA	1.6333300937820849E-6	3.1916231356647917E-3	-1.3805095335213199E-2	-4.4802612194297264E-2		Nottingham	www.newperspectives.co.uk
New Theatre Royal Trustees (Portsmouth) Ltd	New Theatre Royal Portsmouth	NPO	South West	South West	Theatre	Yes	97e3	94983.273	92951.9513412	284935.22434119997	92952	92952	92952	278856	GIA	5.2348336214248846E-7	-2.1335460911355443E-2	-1.3806189858617141E-2	-6.8468516162501519E-2		Portsmouth	http://www.newtheatreroyal.com
New Wolsey Theatre	n/a	NPO	South East	East	Theatre	Yes	838e3	820577.142	803028.1981848	2461605.3401848	853028	853028	853028	2559084	GIA	6.2264067349343089E-2	3.9599629649764302E-2	4.7597699555565157E-2	-1.0468095118298321E-2	Technical uplift - Adjusted to incorporate the Pulse festival activity.	Ipswich	www.wolseytheatre.co.uk
New Writing North	n/a	NPO	North	North East	Literature	Yes	300137	298404.15066	297123.3081309948	895664.4587909948	297123	297123	297123	891369	GIA	-1.0370475366830635E-6	-4.7958348116135148E-3	-1.3807728843724644E-2	-5.2510918210178524E-2		Newcastle upon Tyne	www.newwritingnorth.com
New Writing South	n/a	NPO	South East	South East	Literature	Yes	78e3	76378.302	74744.86808880001	229123.17008880002	93191	93191	93191	279573	GIA	0.24678793852823741	0.22018650445368496	0.22957390387400142	0.16142161042301562		Brighton and Hove	http://www.newwritingsouth.com
NewcastleGateshead Initiative	NGI	NPO	North	North East	Combined arts	No	0	0	0	0	1e5	1e5	1e5	3e5	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Gateshead	0
Newlyn Art Gallery Limited	n/a	NPO	South West	South West	Visual arts	Yes	359677	360299.95155	361761.3284796336	1081738.2800296335	361761	361761	361761	1085283	GIA	-9.0800096016028428E-7	3.2768739313444157E-3	-1.3807601578856287E-2	-4.471966786702352E-2		Cornwall	www.newlynartgallery.co.uk
NMC Recordings Ltd	NMC Recordings	NPO	London	London	Music	Yes	4e4	39168.36	38330.701584	117499.06158400001	4e4	4e4	4e4	12e4	GIA	4.3549905089574362E-2	2.1284752254911166E-2	2.9141918234294097E-2	-2.7900917331124094E-2	Standstill - adjusted to meet NPO minimum grant of £40k.	Westminster	www.nmcrec.co.uk
No.w.here Studio	No.w.here arts ltd	NPO	London	London	Visual arts	Yes	55100	55195.073703	55418.5283501472	165713.60205314722	55419	55419	55419	166257	GIA	8.5106888768248597E-6	3.279139069576836E-3	-1.3798312930101909E-2	-4.4717604289962548E-2		Tower Hamlets	www.no-w-here.org.uk/
Nofit State Community Circus Ltd	n/a	NPO	Midlands	West Midlands	Theatre	Yes	2e5	200346.1614	201159.52191283202	601505.683312832	201160	201160	201160	603480	LOT	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Cardiff	www.nofitstate.com
Norfolk & Norwich Festival Ltd	Norfolk & Norwich Festival	NPO	South East	East	Combined arts	Yes	85e4	832327	814528	2496855	814527	814527	814527	2443581	GIA	-1.2277048793902727E-6	-2.1336441243083801E-2	-1.380791686871731E-2	-6.8469444756874456E-2		Norwich	www.nnfestival.org.uk
Norfolk & Norwich Festival Ltd	Norfolk & Norwich Festival	NPO (Bridge)	South East	East	Combined arts	Yes	5e5	502450	504790	1507240	5e5	5e5	5e5	15e5	LOT	-9.4890944749301698E-3	-4.8034818608847958E-3	-1.380791686871731E-2	-6.8469444756874456E-2		Norwich	www.nnfestival.org.uk
Norfolk County Council (Norfolk Museums Service)	Formerly Norfolk Museums & Archaeology Service	MPM	South East	East	n/a (MPM)	Yes	1516e3	1255835.5425	1228978.1195369998	4000813.662037	1203170	1203170	1203170	3609510	GIA	-2.0999657460722482E-2	-9.7806020247833581E-2	-3.4516427476057675E-2	-0.14229255219356121		Norwich	www.museums.norfolk.gov.uk
North Devon Theatres Trust	n/a	NPO	South West	South West	Theatre	Yes	77e3	77133.272139	77446.2242829324	231579.49642193242	77446	77446	77446	232338	GIA	-2.8959827863993954E-6	3.2753485942710872E-3	-1.3809562113201505E-2	-4.4721119509875472E-2		North Devon	www.northdevontheatres.org.uk
North Kesteven District Council	NK Arts Partnership (artsNK, Design Factory, Design-Nation, The National Centre for Craft & Design)	NPO	Midlands	East Midlands	Combined arts	Yes	2e5	200346.1614	201159.52191283202	601505.683312832	201160	201160	201160	603480	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		North Kesteven	www.n-kesteven.gov.uk
North Music Trust	Sage Gateshead	NPO	North	North East	Music	Yes	3516442	3449264	3525089	10490795	3512122	3512122	3512122	10536366	GIA	-3.6784886849665355E-3	4.3439033934034553E-3	-1.7434406987146277E-2	-4.3727075915265867E-2		Gateshead	www.sagegateshead.com
Northampton Theatres Trust Ltd	Royal & Derngate, Northampton	NPO	Midlands	East Midlands	Theatre	Yes	762e3	763318.874934	766416.6285668424	2291735.5035008425	766417	766417	766417	2299251	GIA	4.8463608923096802E-7	3.2793908754639792E-3	-1.3806228169537129E-2	-4.4717264153473581E-2		Northampton	www.royalandderngate.co.uk
Northern Ballet	n/a	NPO	North	Yorkshire	Dance	Yes	2512293.8	2519102.3021009997	2531720.799469789	7563116.9015707895	3112e3	3112e3	3112e3	9336e3	LOT	0.22920347324702517	0.23441170108860793	0.21223222213710574	0.17537348501158406	Technical uplift - In context of the opera and ballet analysis.	Leeds	www.northernballet.com
Northern Broadsides	Northern Broadsides Theatre Company	NPO	North	Yorkshire	Theatre	Yes	253327.6	254014.64827200002	255287.263887138	762629.512159138	255287	255287	255287	765861	GIA	-1.0336870471774791E-6	4.23729712703237E-3	-1.3807725529632262E-2	-4.3792346991144523E-2		Calderdale	www.northern-broadsides.co.uk
Northern Print Studio Ltd	n/a	NPO	North	North East	Visual arts	Yes	106137	106216.758648	106647.51101716321	319001.26966516324	106648	106648	106648	319944	GIA	4.5850374952486485E-6	2.9552557449889936E-3	-1.3802184381168224E-2	-4.5032449351868072E-2		Newcastle upon Tyne	www.northernprint.org.uk
Northern Stage Company	Northern Stage	NPO	North	North East	Theatre	Yes	1551976	1556181.4646070001	1562496.4288220028	4670653.893429004	1562496	1562496	1562496	4687488	GIA	-2.7444670907990141E-7	3.6042290769349706E-3	-1.3806976771902494E-2	-4.4401437117303245E-2		Newcastle upon Tyne	www.northernstage.co.uk
Norwich Arts Centre	n/a	NPO	South East	East	Combined arts	Yes	19e4	186049.71	182070.832524	558120.5425239999	182071	182071	182071	546213	GIA	9.1983981003808711E-7	-2.1335073011558056E-2	-1.3805798974546406E-2	-6.8468146944184335E-2		Norwich	www.norwichartscentre.co.uk
Nottingham Contemporary	n/a	NPO	Midlands	East Midlands	Visual arts	Yes	1e6	1001730.807	1005795.6930290809	3007526.500029081	1005796	1005796	1005796	3017388	GIA	3.0520206167187121E-7	3.2789403421129063E-3	-1.3806405126171947E-2	-4.4717695818247173E-2		Nottingham	www.nottinghamcontemporary.org
Nottingham Media Centre Limited	Broadway	NPO	Midlands	East Midlands	Visual arts	Yes	1e5	100173.0807	100579.76095641601	300752.841656416	100580	100580	100580	301740	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Nottingham	http://www.broadway.org.uk
Nottingham Playhouse Trust Limited	Nottingham Playhouse	NPO	Midlands	East Midlands	Theatre	Yes	1347e3	1349331.3970289999	1354807.2718943364	4051138.668923336	1354807	1354807	1354807	4064421	GIA	-2.0068857178858022E-7	3.2786661139382672E-3	-1.3806904032122124E-2	-4.4717954611685221E-2		Nottingham	www.nottinghamplayhouse.co.uk
November Club	n/a	NPO	North	North East	Theatre	Yes	1e5	100271.0016	100677.5042454552	300948.5058454552	100678	100678	100678	302034	GIA	4.9241838930487647E-6	3.6069099313030288E-3	-1.380184991726522E-2	-4.4398908775866421E-2		Northumberland	www.novemberclub.org.uk
Nutkhut	n/a	NPO	London	London	Combined arts	Yes	100342	100515.80385	100923.7790031324	301781.5828531324	100924	100924	100924	302772	GIA	2.1897403147828066E-6	3.2819005636590213E-3	-1.3804546607184574E-2	-4.4714862193446114E-2		Greenwich	www.nutkhut.co.uk
Ockham's Razor	n/a	NPO	London	London	Theatre	Yes	18e4	180311.54526	181043.56972154882	541355.1149815489	181044	181044	181044	543132	GIA	2.3766569110614151E-6	3.2822909939840528E-3	-1.3804362271290898E-2	-4.4714492832098877E-2		Kensington and Chelsea	www.ockhamsrazor.co.uk
Octagon Theatre Trust Limited	Bolton Octagon Theatre	NPO	North	North West	Theatre	Yes	613e3	614060.984691	616553.1680487985	1843614.1527397987	614060	614060	614060	1842180	GIA	-4.0437194681661719E-3	-7.7790286957135418E-4	-1.7794595136258601E-2	-4.8580456203662754E-2		Bolton	www.octagonbolton.co.uk
Octopus	n/a	NPO	North	North West	Music	Yes	4e4	40069.232280000004	40231.9043825664	120301.1366625664	40232	40232	40232	120696	GIA	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290794E-2	-4.471449283209885E-2		Barrow-in-Furness	octopuscollective.org / fonfestival.org
Oily Cart Company	n/a	NPO	London	London	Theatre	Yes	281888.8	284309.416314	286575.6573226176	852773.8736366176	286576	286576	286576	859728	LOT	1.1957658427954969E-6	8.1547131993231319E-3	-1.3805526858143072E-2	-4.0003483944297723E-2		Wandsworth	www.oilycart.org.uk
Oldham Coliseum Theatre	n/a	NPO	North	North West	Theatre	Yes	6e5	601626.0096	604066.9420078105	1805692.9516078103	604067	604067	604067	1812201	GIA	9.6002918729126434E-8	3.6041833061345361E-3	-1.3806611436963786E-2	-4.4401483943332105E-2		Oldham	www.coliseum.org.uk
Open Clasp Theatre Company	n/a	NPO	North	North East	Theatre	Yes	1e5	100271.0016	100677.5042454552	300948.5058454552	1e5	1e5	1e5	3e5	GIA	-6.7294501441297512E-3	-3.1517213976211002E-3	-2.044324471807666E-2	-5.0834252543620562E-2		Newcastle upon Tyne	www.openclasp.org.uk
Open Eye Gallery	n/a	NPO	North	North West	Visual arts	Yes	191193	191523.48831000002	192301.2967767696	575017.7850867696	192301	192301	192301	576903	GIA	-1.543290526740248E-6	3.2785332247521914E-3	-1.3808228097166437E-2	-4.4718076666607876E-2		Liverpool	www.openeye.org.uk
Opera North	n/a	NPO	North	Yorkshire	Music	Yes	9574010	9618324.466905002	9671499.130780604	28863833.597685605	10386e3	10386e3	10386e3	31158e3	LOT	7.3876951190061019E-2	7.948238734643856E-2	5.9050247721953712E-2	2.7871403065109459E-2		Leeds	www.operanorth.co.uk
Orchestra of the Age of Enlightenment	OAE	NPO	London	London	Music	Yes	202340	202601.279727	203904.0001462464	608845.2798732463	203904	203904	203904	611712	GIA	-7.172316320142265E-10	4.7084542190266908E-3	-1.380670682172735E-2	-4.3343839944542301E-2		Islington	www.oae.co.uk
Orchestras Live	n/a	NPO	South East	East	Music	Yes	65e4	587525.4	479133.7698	1716659.1697999998	479134	479134	479134	1437402	GIA	4.8045037628419118E-7	-0.16267478991332612	-1.3806232297459305E-2	-0.20441655661335187		Islington	www.orchestraslive.org.uk
Otolith Collective Limited	n/a	NPO	London	London	Visual arts	Yes	5e4	50086.54035	50289.880478208004	150376.420828208	50290	50290	50290	150870	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Hackney	0
OTOProjects	Cafe OTO	NPO	London	London	Music	No	0	0	0	0	74933	74933	74933	224799	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Hackney	www.cafeoto.co.uk
Out of Joint	n/a	NPO	London	London	Theatre	Yes	423896.2	424629.08680499997	426352.39371883194	1274877.6805238319	426352	426352	426352	1279056	LOT	-9.2345871101000512E-7	3.2774277407157334E-3	-1.3807616823186307E-2	-4.471914515807577E-2		Islington	www.outofjoint.co.uk
Oval House	Christ Church (Oxford) United Clubs Ltd	NPO	London	London	Theatre	Yes	472787	473605.204149	475526.8507809456	1421919.0549299456	475527	475527	475527	1426581	GIA	3.1379732634327969E-7	3.2786290147044021E-3	-1.3806396649579673E-2	-4.4717996131958003E-2		Lambeth	www.ovalhouse.com
Oxford Contemporary Music	OCM	NPO	South East	South East	Music	Yes	125e3	122401.125	119783.44245	367184.56745	185783	185783	185783	557349	GIA	0.5509906561380512	0.51789876102539356	0.52957658396257523	0.44479587100377438		Oxford	http://www.ocmevents.org
Oxford Playhouse	Oxford Playhouse Trust	NPO	South East	South East	Theatre	Yes	372451.2	381949.28333099996	379473.9456816	1133874.4290125999	379474	379474	379474	1138422	GIA	1.4314131602867517E-7	4.010647802826145E-3	-1.3806564949392563E-2	-4.3934559002959624E-2		Oxford	http://www.oxfordplayhouse.com
Pagoda Arts	Pagoda Chinese Youth Orchestra	NPO	North	North West	Music	Yes	45e3	44945.6931	44864.1696689928	134809.8627689928	44864	44864	44864	134592	GIA	-3.7818373559843213E-6	-1.6160744067081764E-3	-1.3810435737037361E-2	-4.9436721816581139E-2		Liverpool	www.pagodaarts.org.uk
Paines Plough	Paines Plough Ltd	NPO	London	London	Theatre	Yes	313801.2	314343.714762	315619.78818035405	943764.7029423541	315620	315620	315620	946860	LOT	6.7112283158769607E-7	3.2797338658626697E-3	-1.3806044257562463E-2	-4.4716942621032998E-2		Westminster	www.painesplough.com
Palace Theatre Watford Ltd	Watford Palace Theatre	NPO	South East	East	Theatre	Yes	825e3	807847.425	790570.72017	2423418.14517	790571	790571	790571	2371713	GIA	3.5395947873438978E-7	-2.1335626818281852E-2	-1.3806357041934125E-2	-6.8468674079253236E-2		Watford	www.watfordpalacetheatre.co.uk
Pallant House Gallery	n/a	NPO	South East	South East	Visual arts	Yes	93e3	91066.437	89118.8811828	273185.3181828	89119	89119	89119	267357	GIA	1.3332438470904855E-6	-2.1334668427898624E-2	-1.3805391278257407E-2	-6.8467761845510053E-2		Chichester	http://www.pallant.org.uk
Paraiso School Of Samba	Paraiso	NPO	London	London	Combined arts	Yes	6e4	60103.848419999995	60347.856573849596	180451.7049938496	60348	60348	60348	181044	LOT	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290732E-2	-4.4714492832098773E-2		Camden	www.paraisosamba.co.uk
Pavilion Dance South West Limited	Dance South West Ltd	NPO	South West	South West	Dance	Yes	384e3	384664.62988799997	386225.8987656216	1154890.5286536217	386216	386216	386216	1158648	GIA	-2.562947138766948E-5	3.2535303157770366E-3	-1.3831981727206653E-2	-4.4741884183625569E-2		Bournemouth	www.pdsw.org.uk
Peckham Platform	n/a	NPO	London	London	Visual arts	No	0	0	0	0	5e4	5e4	5e4	15e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Southwark	www.peckhamplatform.com
Peepal Tree Press	n/a	NPO	North	Yorkshire	Literature	Yes	113206	112571.825058	112032.0163221756	337809.84138017555	112032	112032	112032	336096	GIA	-1.4569206312305811E-7	-5.0733909147625249E-3	-1.380684979493418E-2	-5.2777330670260504E-2		Leeds	www.peepaltreepress.com
Peer UK	PEER	NPO	London	London	Visual arts	Yes	5e4	50086.54035	50289.880478208004	150376.420828208	52090	52090	52090	156270	GIA	3.5794865779648001E-2	3.9192176135944175E-2	2.1493950473025679E-2	-1.0522527970252948E-2		Hackney	www.peeruk.org
Pegasus Theatre Trust Limited	n/a	NPO	South East	South East	Theatre	Yes	298245	298761.561945	299973.1957937652	896979.7577387651	299973	299973	299973	899919	GIA	-6.5270420135871783E-7	3.2768211722464797E-3	-1.3807349806904654E-2	-4.4719721065365897E-2		Oxford	http://www.pegasustheatre.org.uk
